Family,Child
[F0001],[I0003]
[F0001],[I0004]
[F0001],[I0005]
[F0001],[I0006]
[F0001],[I0007]
[F0001],[I0008]
[F0001],[I0009]
[F0001],[I0010]
[F0001],[I0011]
[F0002],[I0013]
[F0002],[I0014]
[F0002],[I0015]
[F0002],[I0016]
[F0002],[I0017]
[F0002],[I0018]
[F0003],[I0021]
[F0003],[I0077]
[F0003],[I0072]
[F0003],[I0073]
[F0003],[I0074]
[F0003],[I0075]
[F0003],[I0076]
[F0003],[I0078]
[F0004],[I0046]
[F0004],[I0047]
[F0004],[I0048]
[F0004],[I0049]
[F0004],[I0050]
[F0005],[I0024]
[F0005],[I0129]
[F0006],[I0026]
[F0006],[I0027]
[F0006],[I0028]
[F0006],[I0029]
[F0007],[I0031]
[F0007],[I0032]
[F0007],[I0033]
[F0007],[I0034]
[F0007],[I0035]
[F0007],[I0036]
[F0008],[I0038]
[F0008],[I0084]
[F0008],[I0079]
[F0008],[I0083]
[F0008],[I0086]
[F0008],[I0039]
[F0008],[I0085]
[F0009],[I0037]
[F0009],[I1568]
[F0009],[I0153]
[F0009],[I0154]
[F0009],[I0155]
[F0009],[I0156]
[F0010],[I0044]
[F0010],[I0353]
[F0010],[I2665]
[F0010],[I2666]
[F0011],[I0491]
[F0011],[I0492]
[F0011],[I0040]
[F0011],[I0149]
[F0011],[I0150]
[F0011],[I0094]
[F0011],[I0151]
[F0011],[I0152]
[F0012],[I0052]
[F0012],[I0053]
[F0013],[I0055]
[F0013],[I0056]
[F0014],[I0058]
[F0014],[I0059]
[F0014],[I0060]
[F0014],[I0061]
[F0015],[I0063]
[F0015],[I0064]
[F0016],[I0115]
[F0016],[I0116]
[F0017],[I0067]
[F0017],[I0106]
[F0017],[I0107]
[F0018],[I0244]
[F0018],[I0291]
[F0019],[I0087]
[F0019],[I0088]
[F0021],[I0450]
[F0022],[I0080]
[F0022],[I0081]
[F0022],[I0082]
[F0023],[I0090]
[F0023],[I0317]
[F0023],[I0318]
[F0026],[I0095]
[F0026],[I0096]
[F0026],[I0097]
[F0026],[I0098]
[F0026],[I0099]
[F0027],[I0101]
[F0027],[I0238]
[F0027],[I0102]
[F0027],[I0103]
[F0028],[I0147]
[F0028],[I0148]
[F0028],[I0463]
[F0028],[I0476]
[F0028],[I0057]
[F0029],[I0125]
[F0029],[I0952]
[F0030],[I0109]
[F0030],[I0110]
[F0031],[I0112]
[F0031],[I0113]
[F0031],[I0114]
[F0032],[I0310]
[F0032],[I0311]
[F0032],[I0312]
[F0032],[I0118]
[F0032],[I0313]
[F0034],[I0121]
[F0034],[I0122]
[F0034],[I0123]
[F0035],[I0445]
[F0035],[I1059]
[F0035],[I0447]
[F0035],[I0448]
[F0035],[I0449]
[F0036],[I2155]
[F0037],[I1706]
[F0038],[I0287]
[F0038],[I0288]
[F0038],[I0289]
[F0039],[I0141]
[F0039],[I0202]
[F0039],[I0203]
[F0039],[I0204]
[F0039],[I0133]
[F0039],[I0209]
[F0039],[I0210]
[F0039],[I0212]
[F0039],[I0213]
[F0039],[I0132]
[F0039],[I0214]
[F0039],[I0215]
[F0039],[I0216]
[F0039],[I0217]
[F0039],[I0218]
[F0040],[I0262]
[F0040],[I0135]
[F0040],[I0136]
[F0041],[I0030]
[F0041],[I0278]
