Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0785],,,,,,,male,,,,,,,1870,,,,,,
[I0788],,,,,,,male,,,,,,,1885,,,,,,
[I1442],,,,,,,male,,,,,,,,,,,,,
[I1709],,,,,,,male,1900,,,,,,,,,,,,
[I1762],,(Daughter),,,,,female,,,,,,,,,,,,,
[I0117],,(Frederick) Christian Charles,,,,,male,1831,,,,,,1917,,,,,,
[I0131],,(Sophia) Charlotte,,,,,female,1744-05-19,[P0104],,,,,1818-11-17,[P0105],,,[P0106],,
[I1147],,5sons_1dau,,,,,unknown,,,,,,,,,,,,,
[I2229],,Ada,,,,,female,,,,,,,,,,,,,
[I2608],,Adalberon of_Rheims,,,,,male,,,,,,,1021,,,,,,
[I0422],,Adalbert,,,,,male,1884,,,,,,1948,,,,,,
[I1153],,Adalbert,,,,,male,1828,,,,,,1875,,,,,,
[I1388],,Adela,,,,,female,about 1062,[P0518],,,,,1137/8-03-08 (Julian),[P0522],,,,,
[I2562],,Adelaide,,,,,female,,,,,,,,,,,,,
[I2583],,Adelaide Judith,,,,,female,,,,,,,,,,,,,
[I0219],,Adelaide Louisa Theresa,,,,,female,1792-08-13,[P0139],,,,,1849-12-02,[P0140],,,[P0141],,
[I2453],,Adelaide of_Savoy,,,,,female,,,,,,,1154,,,,,,
[I2476],,Adele of_Champagne,,,,,female,,,,,,,1206,,,,,,
[I1151],,Adelgunde,,,,,female,1823,,,,,,1914,,,,,,
[I0548],,Adelheid of_Saxe- Meiningen,,,,,female,1891,,,,,,1971,,,,,,
[I1856],,Adelicia,,,,,female,,,,,,,,,,,,,
[I1387],,Adeliza a_nun,,,,,female,,,,,,,,,,,,,
[I1396],,Adeliza of_Louvain,,,,,female,about 1105,[P0527],,,,,about 1151-04-23,[P0528],,,[P0528],,
[I2651],,Adolph of_Schwarzburg- Rudolstadt,,,,,male,1801,,,,,,1875,,,,,,
[I0580],,Adolphe of_Luxembourg,,,,,male,,,,,,,,,,,,,
[I0265],,Adolphus,,,,,male,1846,,,,,,1922,,,,,,
[I0278],,Adolphus 2nd,,,,,male,1868,,,,,,1927,,,,,,
[I0272],,Adolphus Frederick_V,,,,,male,1848,,,,,,1914,,,,,,
[I0404],,Adolphus of_Schaumburg- Lippe,,,,,male,1859,,,,,,1916,,,,,,
[I2260],,Aedh,,,,,male,,,,,,,,,,,,,
[I2025],,Aescwine,,,,,male,,,,,,,,,,,,,
[I1386],,Agatha,,,,,female,,,,,,,,,,,,,
[I1546],,Agatha,,,,,female,,,,,,,,,,,,,
[I0665],,Agnes,,,,,female,,,,,,,,,,,,,
[I0667],,Agnes,,,,,female,,,,,,,,,,,,,
[I1862],,Agnes,,,,,female,,,,,,,,,,,,,
[I2479],,Agnes of_Meranie,,,,,female,,,,,,,1201,,,,,,
[I0266],,Agustus,,,,,male,1847,,,,,,1933,,,,,,
[I1843],,Alan,,,,,male,,,,,,,,,,,,,
[I1124],,Albert,,,,,male,1934,,,,,,,,,,,,
[I0002],,Albert Augustus Charles,,,,,male,1819-08-26,[P0003],,,,,1861-12-14,[P0004],,,[P0005],,
[I0013],,Albert Victor Christian,,,,,male,1864-01-08,[P0021],,,,,1892-01-14,[P0019],,1892-01-20,[P0010],,
