Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0000],"Kensington,Palace,London,England","Kensington,Palace,London,England",Unknown,,,,,
[P0001],"Osborne House,Isle of Wight,England","Osborne House,Isle of Wight,England",Unknown,,,,,
[P0002],"Royal Mausoleum,Frogmore,Berkshire,England","Royal Mausoleum,Frogmore,Berkshire,England",Unknown,,,,,
[P0003],"Schloss Rosenau,Near Coburg,Germany","Schloss Rosenau,Near Coburg,Germany",Unknown,,,,,
[P0004],"Windsor Castle,Berkshire,England","Windsor Castle,Berkshire,England",Unknown,,,,,
[P0005],"Royal Masoleum,Frogmore,Windsor,England","Royal Masoleum,Frogmore,Windsor,England",Unknown,,,,,
[P0006],"Buckingham,Palace,London,England","Buckingham,Palace,London,England",Unknown,,,,,
[P0007],"Throne Room,Buckingham Palac,England","Throne Room,Buckingham Palac,England",Unknown,,,,,
[P0008],"Friedrichshof,Near,Kronberg,Taunus","Friedrichshof,Near,Kronberg,Taunus",Unknown,,,,,
[P0009],"Friedenskirche,Potsdam","Friedenskirche,Potsdam",Unknown,,,,,
[P0010],"Windsor,Berkshire,England","Windsor,Berkshire,England",Unknown,,,,,
[P0011],"Darmstadt,,,Germany","Darmstadt,,,Germany",Unknown,,,,,
[P0012],"Schloss Rosenau,Near Coburg","Schloss Rosenau,Near Coburg",Unknown,,,,,
[P0013],"Schomberg House,Pall Mall,London,England","Schomberg House,Pall Mall,London,England",Unknown,,,,,
[P0014],"Frogmore,,,England","Frogmore,,,England",Unknown,,,,,
[P0015],"Bagshot Park,Surrey","Bagshot Park,Surrey",Unknown,,,,,
[P0016],Cannes,Cannes,Unknown,,,,,
[P0017],"Bantridge Park,Balcombe,Sussex,England","Bantridge Park,Balcombe,Sussex,England",Unknown,,,,,
[P0018],"Yellow Palace,Copenhagen,Denmark","Yellow Palace,Copenhagen,Denmark",Unknown,,,,,
[P0019],"Sandringham,,Norfolk,England","Sandringham,,Norfolk,England",Unknown,,,,,
[P0020],"St. George Chap.,Windsor,Berkshire,England","St. George Chap.,Windsor,Berkshire,England",Unknown,,,,,
[P0021],"Frogmore House,Windsor,Berkshire,England","Frogmore House,Windsor,Berkshire,England",Unknown,,,,,
[P0022],"Marlborough Hse,London,England","Marlborough Hse,London,England",Unknown,,,,,
[P0023],"Sandringham,Norfolk,England","Sandringham,Norfolk,England",Unknown,,,,,
[P0024],"Windsor Castle,St. George Chap.,Berkshire,England","Windsor Castle,St. George Chap.,Berkshire,England",Unknown,,,,,
[P0025],"Marlborough,House,London,England","Marlborough,House,London,England",Unknown,,,,,
[P0026],"Portman Square,London,England","Portman Square,London,England",Unknown,,,,,
[P0027],"Coppins,Iver,Bucks,England","Coppins,Iver,Bucks,England",Unknown,,,,,
[P0028],"London,England","London,England",Unknown,,,,,
[P0029],"Neues Palais,Potsdam,Germany","Neues Palais,Potsdam,Germany",Unknown,,,,,
[P0030],"Friedenskirche,Potsdam,Germany","Friedenskirche,Potsdam,Germany",Unknown,,,,,
[P0031],"Berlin,Germany","Berlin,Germany",Unknown,,,,,
[P0032],"Haus Doorn,Netherlands","Haus Doorn,Netherlands",Unknown,,,,,
[P0033],Arolsen,Arolsen,Unknown,,,,,
[P0034],Tyrol,Tyrol,Unknown,,,,,
[P0035],"Whippingham Ch.,Isle of Wight,England","Whippingham Ch.,Isle of Wight,England",Unknown,,,,,
[P0036],Lausanne,Lausanne,Unknown,,,,,
[P0037],"St. George's,Chapel,Windsor Castle,England","St. George's,Chapel,Windsor Castle,England",Unknown,,,,,
[P0038],"White Lodge,Richmond Park,Surrey,England","White Lodge,Richmond Park,Surrey,England",Unknown,,,,,
[P0039],"Paris,,,France","Paris,,,France",Unknown,,,,,
[P0040],"Frogmore,Windsor,Berkshire,England","Frogmore,Windsor,Berkshire,England",Unknown,,,,,
[P0041],"York Cottage,Sandringham,Norfolk,England","York Cottage,Sandringham,Norfolk,England",Unknown,,,,,
[P0042],"St. George Chap.,,Windsor,England","St. George Chap.,,Windsor,England",Unknown,,,,,
[P0043],"Harewood House,Yorkshire,,England","Harewood House,Yorkshire,,England",Unknown,,,,,
[P0044],"Morven,,,Scotland","Morven,,,Scotland",Unknown,,,,,
